difference,Inform/Explore,119
wrong,Inform/Explore,135
chance,Inform/Explore,71
whats,Inform/Explore,25
easy,Inform/Explore,78
shove,Inform/Explore,4
information,Inform/Explore,190
face,Inform/Explore,86
expect,Inform/Explore,31
fact,Inform/Explore,207
main,Inform/Explore,187
reasons,Inform/Explore,141
tend,Inform/Explore,70
dismiss,Inform/Explore,6
load,Inform/Explore,10
intellect,Inform/Explore,7
discard,Inform/Explore,1
slowly,Inform/Explore,23
process,Inform/Explore,91
turn,Inform/Explore,57
little,Inform/Explore,189
regard,Inform/Explore,14
unimportant,Inform/Explore,5
uninteresting,Inform/Explore,3
chose,Inform/Explore,53
arranged,Inform/Explore,6
specific,Inform/Explore,86
allow,Inform/Explore,92
focus,Inform/Explore,105
possible,Inform/Explore,87
amount,Inform/Explore,110
generated,Inform/Explore,5
language,Inform/Explore,73
features,Inform/Explore,15
arrangement,Inform/Explore,6
discourse,Inform/Explore,4
level,Inform/Explore,95
6,Inform/Explore,54
judged,Inform/Explore,10
written,Inform/Explore,114
author,Inform/Explore,268
either,Inform/Explore,72
generate,Inform/Explore,6
profound,Inform/Explore,9
perfectly,Inform/Explore,10
misinterpret,Inform/Explore,1
fully,Inform/Explore,47
depends,Inform/Explore,18
structure,Inform/Explore,47
types,Inform/Explore,81
themselves,Inform/Explore,182
bring,Inform/Explore,116
earlier,Inform/Explore,12
choices,Inform/Explore,43
neither,Inform/Explore,10
build,Inform/Explore,38
actual,Inform/Explore,44
emotion,Inform/Explore,173
within,Inform/Explore,192
best,Inform/Explore,162
examples,Inform/Explore,82
paragraphs,Inform/Explore,29
21,Inform/Explore,104
22,Inform/Explore,70
watched,Inform/Explore,12
two,Inform/Explore,499
weeks,Inform/Explore,33
become,Inform/Explore,226
familiar,Inform/Explore,17
sit,Inform/Explore,22
disapprove,Inform/Explore,2
am,Inform/Explore,130
grandmother,Inform/Explore,117
TRUE,Inform/Explore,140
anatomy,Inform/Explore,8
buy,Inform/Explore,31
clothes,Inform/Explore,37
wellprepared,Inform/Explore,4
food,Inform/Explore,65
roof,Inform/Explore,6
turned,Inform/Explore,41
leans,Inform/Explore,3
rather,Inform/Explore,164
boring,Inform/Explore,4
tale,Inform/Explore,19
apparently,Inform/Explore,4
im,Inform/Explore,63
thinks,Inform/Explore,43
journal,Inform/Explore,69
titled,Inform/Explore,42
neuroimage,Inform/Explore,3
concluded,Inform/Explore,12
provide,Inform/Explore,95
viable,Inform/Explore,3
basis,Inform/Explore,18
linguistic,Inform/Explore,7
semantic,Inform/Explore,2
representations,Inform/Explore,5
per,Inform/Explore,124
textbased,Inform/Explore,1
models,Inform/Explore,33
difficult,Inform/Explore,78
argue,Inform/Explore,36
anderson,Inform/Explore,20
12,Inform/Explore,43
course,Inform/Explore,82
forget,Inform/Explore,22
inserted,Inform/Explore,1
seem,Inform/Explore,154
30,Inform/Explore,38
writes,Inform/Explore,41
days,Inform/Explore,65
revelations,Inform/Explore,25
john,Inform/Explore,73
revelator,Inform/Explore,9
prophesied,Inform/Explore,2
earth,Inform/Explore,24
shuddered,Inform/Explore,4
trains,Inform/Explore,10
thundered,Inform/Explore,4
belly,Inform/Explore,9
private,Inform/Explore,44
cars,Inform/Explore,21
taxis,Inform/Explore,4
buses,Inform/Explore,5
surface,Inform/Explore,18
trucks,Inform/Explore,16
